"";"PC1";"PC2"
"Minquartia guianensis_70";0,111415403925472;-0,0453222321556721
"Nectandra rubra";0,112686629593529;0,0225756055449257
"Osteophloeum platyspermum";0,112345450232659;-0,0272548320570336
"Parinarium Juss.";0,112749801800399;0,0237354196588385
"Parkia pendula";0,107817750803962;-0,0613428780855526
"Pouteria caimito_70";0,11289217568541;0,0128574391219377
"Protium decandrum_70";0,1127730378151;0,00753616241547442
"Protium tenuifolium_70";0,112732163056368;0,0214662283893923
"Pseudopiptadenia psilostachya";0,112539151196677;-0,0172103867845448
"Qualea albiflora";0,112733177770339;0,0235805729414426
"Sloanea grandiflora_70";0,11273308507993;0,0240417672951584
"Stryphnodendron pulcherrimum";0,112887223365984;0,0145221502157922
"Symphonia globulifera_70";0,111872721919905;-0,00779988768833462
"Tabebuia serratifolia_70";0,112737649963261;0,0208643056892121
"Tachigali myrmecophila_70";0,112338748091048;0,00938162882282479
"Terminalia amazonia";0,111783256949467;0,0214259771750456
"Vantanea parviflora";0,111130008361265;-0,0471405255539975
"Vochysia guianensis";0,111990160463139;0,02580947765517
"Vochysia maxima";0,111644320923381;0,022459423024523
"Vouacapoua americana_70";0,110188500653104;0,0159225209171201
